Temperature,Preheat,Heating,Cooling,Reached,
,178,No,Yes,No,No
,178,No,Yes,No,No
,179,No,Yes,No,No
,180,No,Yes,No,No
,180,No,Yes,No,No
,181,No,Yes,No,No
,181,No,Yes,No,No
,182,No,Yes,No,No
,183,No,Yes,No,No
,183,No,Yes,No,No
,184,No,Yes,No,No
,185,No,Yes,No,No
,185,No,Yes,No,No
,186,No,Yes,No,No
,186,No,Yes,No,No
,187,No,Yes,No,No
,188,No,Yes,No,No
,188,No,Yes,No,No
,189,No,Yes,No,No
,189,No,Yes,No,No
,190,No,Yes,No,Yes
,191,No,No,No,Yes
,191,No,No,No,Yes
,191,No,No,No,Yes
,192,No,No,No,Yes
,192,No,No,No,Yes
,192,No,No,No,Yes
,192,No,No,No,Yes
,193,No,No,No,Yes
,194,No,Yes,No,No
,194,No,Yes,No,No
,194,No,Yes,No,No
,194,No,Yes,No,No
,194,No,Yes,No,No
,195,No,Yes,No,No
,195,No,Yes,No,No
,196,No,Yes,No,No
,196,No,Yes,No,No
,196,No,Yes,No,No
,197,No,Yes,No,No
,197,No,Yes,No,No
,197,No,Yes,No,No
,198,No,Yes,No,No
,198,No,Yes,No,No
,199,No,Yes,No,No
,199,No,Yes,No,No
,200,No,Yes,No,No
,200,No,Yes,No,No
,200,No,Yes,No,No
,201,No,Yes,No,No
,201,No,Yes,No,No
,202,No,Yes,No,No
,203,No,Yes,No,No
,203,No,Yes,No,No
,203,No,Yes,No,No
,204,No,Yes,No,No
,204,No,Yes,No,No
,205,No,Yes,No,No
,205,No,Yes,No,No
,206,No,Yes,No,No
,207,No,Yes,No,No
,207,No,Yes,No,No
,208,No,Yes,No,No
,208,No,Yes,No,No
,209,No,Yes,No,No
,210,No,Yes,No,No
,210,No,Yes,No,No
,211,No,Yes,No,No
,212,No,Yes,No,No
,212,No,Yes,No,No
,212,No,Yes,No,No
,212,No,Yes,No,No
,213,No,Yes,No,No
,214,No,Yes,No,No
,214,No,Yes,No,No
,215,No,Yes,No,No
,215,No,Yes,No,No
,216,No,Yes,No,No
,217,No,Yes,No,No
,217,No,Yes,No,No
,218,No,Yes,No,No
,219,No,Yes,No,No
,219,No,Yes,No,No
,220,No,Yes,No,No
,220,No,Yes,No,No
,220,No,Yes,No,No
,221,No,Yes,No,No
,221,No,Yes,No,No
,222,No,Yes,No,No
,222,No,Yes,No,No
,223,No,Yes,No,No
,224,No,Yes,No,No
,224,No,Yes,No,No
,225,No,Yes,No,No
,225,No,Yes,No,No
,225,No,Yes,No,No
,226,No,Yes,No,No
,226,No,Yes,No,No
,227,No,Yes,No,No
,227,No,Yes,No,No
,227,No,Yes,No,No
,228,No,Yes,No,No
,228,No,Yes,No,No
,229,No,Yes,No,No
,229,No,Yes,No,No
,229,No,Yes,No,No
,230,No,Yes,No,Yes
,230,No,Yes,No,Yes
,230,No,Yes,No,Yes
,231,No,No,No,Yes
,231,No,No,No,Yes
,232,No,No,No,Yes
,232,No,No,No,Yes
,232,No,No,No,Yes
,232,No,No,No,Yes
,232,No,No,No,Yes
,232,No,No,No,Yes
,232,No,No,No,Yes
,232,No,No,No,No
,232,No,No,No,No
,232,No,No,No,No
,232,No,No,No,No
,232,No,No,No,No
,232,No,No,No,No
,231,No,No,No,No
,231,No,No,No,No
,231,No,No,No,No
,231,No,No,No,No
,231,No,No,No,No
,230,No,No,No,No
,229,No,No,No,No
,229,No,No,No,No
,229,No,No,No,No
,229,No,No,No,No
,229,No,No,No,No
,227,No,No,No,No
,227,No,No,No,No
,223,No,No,No,No
,223,No,No,No,No
,221,No,No,No,No
,219,No,No,No,No
,219,No,No,No,No
,217,No,No,No,No
,215,No,No,No,No
,215,No,No,No,No
,212,No,No,No,No
,212,No,No,No,No
,211,No,No,No,No
,209,No,No,No,No
,209,No,No,No,No
,210,No,No,No,No
,210,No,No,No,No
,209,No,No,No,No
,208,No,No,No,No
,208,No,No,No,No
,208,No,No,No,No
,206,No,No,No,No
,206,No,No,No,No
,206,No,No,No,No
,206,No,No,No,No
,204,No,No,No,No
,204,No,No,No,No
,204,No,No,No,No
,204,No,No,No,No
,204,No,No,No,No
,204,No,No,No,No
,202,No,No,No,No
,202,No,No,No,No
,202,No,No,No,No
,202,No,No,No,No
,201,No,No,No,No
,199,No,No,No,No
,199,No,No,No,No
,199,No,No,No,No
,199,No,No,No,No
,199,No,No,No,No
,199,No,No,No,No
,199,No,No,No,No
,198,No,No,No,No
,196,No,No,No,No
,196,No,No,No,No
,195,No,No,No,No
,195,No,No,No,No
,194,No,No,No,No
,194,No,No,No,No
,194,No,No,No,No
,192,No,No,No,No
,191,No,No,No,No
,191,No,No,No,No
,190,No,No,No,No
,190,No,No,No,No
,191,No,No,No,No
,192,No,No,No,No
,192,No,No,No,No
,191,No,No,No,No
,191,No,No,No,No
,189,No,No,No,No
,189,No,No,No,No
,189,No,No,No,No
,188,No,No,No,No
,187,No,No,No,No
,187,No,No,No,No
,185,No,No,No,No
,185,No,No,No,No
,184,No,No,No,No
,184,No,No,No,No
,184,No,No,No,No
,182,No,No,No,No
,182,No,No,No,No
,181,No,No,No,No
,180,No,No,No,No
,180,No,No,No,No
,180,No,No,No,No
,180,No,No,No,No
,180,No,No,No,No
,180,No,No,No,No
,180,No,No,No,No
,179,No,No,No,No
,179,No,No,No,No
,179,No,No,No,No
,178,No,No,No,No
,178,No,No,No,No
,179,No,No,No,No
,178,No,No,No,No
,178,No,No,No,No
,176,No,No,No,No
,176,No,No,No,No
,176,No,No,No,No
,173,No,No,No,No
,173,No,No,No,No
,173,No,No,No,No
,173,No,No,No,No
,173,No,No,No,No
,172,No,No,No,No
,172,No,No,No,No
,169,No,No,No,No
,167,No,No,No,No
,167,No,No,No,No
,168,No,No,No,No
,168,No,No,No,No
,169,No,No,No,No
,168,No,No,No,No
,168,No,No,No,No
,166,No,No,No,No
,166,No,No,No,No
,167,No,No,No,No
,167,No,No,No,No
,167,No,No,No,No
,166,No,No,No,No
,166,No,No,No,No
,166,No,No,No,No
,166,No,No,No,No
,166,No,No,No,No
,167,No,No,No,No
,165,No,No,No,No
,165,No,No,No,No
,164,No,No,No,No
,164,No,No,No,No
,164,No,No,No,No
,164,No,No,No,No
,164,No,No,No,No
,163,No,No,No,No
,163,No,No,No,No
,163,No,No,No,No
,162,No,No,No,No
,162,No,No,No,No
,161,No,No,No,No
,161,No,No,No,No
,161,No,No,No,No
,159,No,No,No,No
,159,No,No,No,No
,158,No,No,No,No
,157,No,No,No,No
,157,No,No,No,No
,156,No,No,No,No
,156,No,No,No,No
,156,No,No,No,No
,156,No,No,No,No
,156,No,No,No,No
,155,No,No,No,No
,154,No,No,No,No
,154,No,No,No,No
,155,No,No,No,No
,155,No,No,No,No
,153,No,No,No,No
,152,No,No,No,No
,152,No,No,No,No
,153,No,No,No,No
,153,No,No,No,No
,152,No,No,No,No
,150,No,No,No,No
,150,No,No,No,No
