Temperature,Preheat,Heating,Cooling,Reached
---------------,----------,----------,----------,----------
,23,No,No,No,No
,22,No,No,No,No
,22,No,No,No,No
,22,No,No,No,No
,22,No,No,No,No
,22,No,No,No,No
,22,No,No,No,No
,22,No,No,No,No
,22,No,No,No,No
,22,No,No,No,No
,22,No,No,No,No
,22,No,No,No,Yes
,22,No,No,No,Yes
,22,No,No,No,No
,22,No,No,No,No
,22,No,Yes,No,No
,22,No,Yes,No,No
,22,No,Yes,No,No
,22,No,Yes,No,No
,22,No,Yes,No,No
,22,No,Yes,No,No
,22,No,Yes,No,No
,23,No,Yes,No,No
,23,No,Yes,No,No
,23,No,Yes,No,No
,23,No,Yes,No,No
,23,No,Yes,No,No
,24,No,Yes,No,No
,24,No,Yes,No,No
,24,No,Yes,No,No
,25,No,Yes,No,No
,25,No,Yes,No,No
,25,No,Yes,No,No
,27,No,Yes,No,No
,27,No,Yes,No,No
,27,No,Yes,No,No
,29,No,Yes,No,No
,29,No,Yes,No,No
,30,No,Yes,No,No
,30,No,Yes,No,No
,30,No,Yes,No,No
,32,No,Yes,No,No
,32,No,Yes,No,No
,33,No,Yes,No,No
,33,No,Yes,No,No
,34,No,Yes,No,No
,35,No,Yes,No,No
,35,No,Yes,No,No
,36,No,Yes,No,No
,36,No,Yes,No,No
,38,No,Yes,No,No
,39,No,Yes,No,No
,39,No,Yes,No,No
,40,No,Yes,No,No
,41,No,Yes,No,No
,41,No,Yes,No,No
,43,No,Yes,No,No
,43,No,Yes,No,No
,44,No,Yes,No,No
,45,No,Yes,No,No
,45,No,Yes,No,No
,46,No,Yes,No,No
,46,No,Yes,No,No
,48,No,Yes,No,No
,49,No,Yes,No,No
,49,No,Yes,No,No
,50,No,Yes,No,Yes
,52,No,Yes,No,Yes
,52,No,No,No,Yes
,53,No,No,No,Yes
,53,No,No,No,Yes
,54,No,No,No,Yes
,56,No,No,No,Yes
,56,No,No,No,Yes
,57,No,No,No,Yes
,57,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,59,No,No,No,Yes
,60,No,No,No,Yes
,60,No,No,No,Yes
,60,No,No,No,Yes
,60,No,No,No,Yes
,60,No,No,No,Yes
,61,No,No,No,Yes
,61,No,No,No,Yes
,61,No,No,No,Yes
,62,No,No,No,Yes
,62,No,No,No,Yes
,62,No,No,No,Yes
,62,No,No,No,Yes
,62,No,No,No,Yes
,62,No,No,No,Yes
,62,No,No,No,Yes
,62,No,No,No,Yes
,62,No,No,No,Yes
,62,No,No,No,Yes
,62,No,Yes,No,No
,62,No,Yes,No,No
,62,No,Yes,No,No
,62,No,Yes,No,No
,62,No,Yes,No,No
,62,No,Yes,No,No
,62,No,Yes,No,No
,62,No,Yes,No,No
,63,No,Yes,No,No
,63,No,Yes,No,No
